category,material_cost,size,region,price
Accessories,345.0,small,Delhi,770
Accessories,146.5,medium,Delhi,520
Metal Craft,1755.1,large,Chhattisgarh,10800
Accessories,292.5,large,Rajasthan,1820
Wood Craft,659.8,small,Uttar Pradesh,1790
Metal Craft,1656.0,small,Uttar Pradesh,4460
Painting,411.7,large,Madhya Pradesh,3720
Textiles,821.4,medium,Assam,2560
Metal Craft,422.4,small,West Bengal,1310
Jewellery,451.1,large,Gujarat,3410
Metal Craft,2063.5,small,West Bengal,5210
Wood Craft,998.1,small,Karnataka,2750
Accessories,562.6,medium,Uttar Pradesh,2170
Wood Craft,800.1,large,Kerala,5780
Metal Craft,1246.4,medium,Uttar Pradesh,4780
Painting,748.3,large,Odisha,7510
Textiles,961.8,medium,Rajasthan,3030
Metal Craft,964.2,large,Odisha,6280
Pottery,74.2,large,West Bengal,690
Wood Craft,1193.4,small,Uttar Pradesh,3100
Jewellery,1359.7,small,West Bengal,5190
Metal Craft,1452.2,medium,Kerala,5840
Painting,558.9,medium,Rajasthan,3110
Painting,848.0,large,Bihar,8440
Pottery,296.1,large,Uttar Pradesh,2260
Pottery,143.5,small,West Bengal,440
Metal Craft,519.3,large,West Bengal,3390
Pottery,243.3,medium,Tamil Nadu,1230
Metal Craft,1938.7,small,Odisha,5260
Pottery,344.6,medium,West Bengal,1860
Textiles,210.9,medium,Assam,800
Metal Craft,1813.8,small,West Bengal,5400
Pottery,113.0,large,West Bengal,970
Accessories,444.9,medium,Rajasthan,1600
Jewellery,1102.9,small,Delhi,4400
Accessories,529.3,large,Uttar Pradesh,2450
Textiles,736.1,large,Gujarat,4770
Painting,685.1,small,Rajasthan,2730
Textiles,226.5,medium,Uttar Pradesh,960
Wood Craft,1153.0,medium,Jammu and Kashmir,4630
Painting,717.8,medium,Madhya Pradesh,4960
Accessories,119.1,small,Gujarat,360
Textiles,965.7,large,West Bengal,6560
Accessories,286.7,medium,Rajasthan,970
Jewellery,1063.7,medium,Delhi,4860
Jewellery,373.3,small,Delhi,1450
Wood Craft,500.3,large,Uttar Pradesh,3240
Jewellery,464.9,medium,Rajasthan,1930
Pottery,136.5,medium,Uttar Pradesh,650
Metal Craft,936.4,large,Kerala,5660
Jewellery,1033.6,medium,Rajasthan,5370
Painting,95.5,medium,Odisha,640
Textiles,961.2,small,Uttar Pradesh,2640
Metal Craft,760.4,small,West Bengal,1780
Textiles,756.0,large,Rajasthan,3650
Accessories,388.7,small,Gujarat,1100
Accessories,571.8,medium,Gujarat,2110
Textiles,1088.0,large,Uttar Pradesh,6850
Pottery,261.4,small,Rajasthan,810
Painting,82.3,medium,Bihar,530
Metal Craft,1223.3,large,Chhattisgarh,7830
Pottery,188.2,small,Tamil Nadu,540
Accessories,595.3,large,Uttar Pradesh,3360
Metal Craft,1817.5,medium,Chhattisgarh,7140
Metal Craft,386.0,small,Uttar Pradesh,1220
Jewellery,844.4,large,Gujarat,6520
Wood Craft,741.4,medium,Jammu and Kashmir,3180
Accessories,442.8,large,Gujarat,2530
Textiles,537.3,medium,West Bengal,2010
Jewellery,401.6,small,West Bengal,1180
Accessories,101.2,medium,Rajasthan,410
Pottery,235.3,large,Tamil Nadu,1810
Pottery,173.8,large,Delhi,1500
Wood Craft,481.8,small,Jammu and Kashmir,1150
Textiles,770.5,small,Rajasthan,1890
Painting,517.8,medium,Rajasthan,3760
Accessories,423.0,large,Rajasthan,2380
Pottery,93.1,large,West Bengal,790
Painting,74.8,small,Rajasthan,480
Pottery,62.1,large,Rajasthan,540
Metal Craft,880.7,medium,Uttar Pradesh,3830
Pottery,339.2,small,Rajasthan,1200
Pottery,265.9,medium,Delhi,1300
Painting,238.1,large,Bihar,2320
Pottery,129.1,large,Tamil Nadu,1020
Metal Craft,2071.2,small,Chhattisgarh,5070
Textiles,876.7,medium,Uttar Pradesh,3360
Textiles,264.0,large,Gujarat,1580
Accessories,450.8,medium,Rajasthan,1530
Metal Craft,1954.2,medium,Kerala,7060
Metal Craft,1562.6,medium,Uttar Pradesh,5650
Accessories,618.6,medium,Uttar Pradesh,1880
Accessories,113.5,medium,Delhi,400
Painting,242.8,small,Bihar,1170
Pottery,215.7,small,West Bengal,760
Textiles,366.8,small,Uttar Pradesh,900
Wood Craft,291.9,large,Karnataka,1710
Accessories,388.2,large,Delhi,2180
Wood Craft,875.2,large,Rajasthan,6010
Pottery,194.1,large,West Bengal,1650
Wood Craft,176.8,large,Karnataka,1060
Accessories,222.2,large,Rajasthan,1330
Wood Craft,567.5,large,Jammu and Kashmir,4020
Accessories,393.0,small,Uttar Pradesh,1000
Wood Craft,289.5,small,Kerala,740
Jewellery,173.0,large,Odisha,1140
Jewellery,646.6,medium,Delhi,3330
Painting,372.2,medium,Rajasthan,2080
Jewellery,927.4,small,Gujarat,2600
Jewellery,1201.1,large,Odisha,8640
Wood Craft,899.7,medium,Rajasthan,3960
Wood Craft,953.5,small,Rajasthan,2570
Jewellery,1120.8,small,Delhi,3110
Pottery,156.9,small,Rajasthan,530
Accessories,341.8,small,Gujarat,720
Wood Craft,1027.3,large,Jammu and Kashmir,6170
Painting,753.6,large,Odisha,7880
Jewellery,1093.3,small,West Bengal,3120
Painting,597.6,small,Madhya Pradesh,2630
Textiles,652.7,medium,West Bengal,2440
Textiles,493.1,large,West Bengal,2860
Wood Craft,608.2,small,Uttar Pradesh,1940
Textiles,978.1,small,West Bengal,2690
Accessories,359.5,small,Uttar Pradesh,770
Textiles,401.9,large,Gujarat,2840
Accessories,320.7,medium,Rajasthan,1180
Metal Craft,1178.7,small,West Bengal,3700
Pottery,323.7,large,West Bengal,2810
Textiles,176.8,medium,Gujarat,660
Pottery,36.7,small,Rajasthan,180
Jewellery,875.9,medium,Rajasthan,4900
Textiles,543.0,large,West Bengal,2890
